,loss,residual_loss,bound_loss,init_loss
0,1.252478,0.1521784,0.5487758,0.5515238
1,1.1327343,0.09420622,0.5229502,0.5155779
2,1.0390636,0.053499542,0.4991954,0.48636872
3,0.9675482,0.027956173,0.47708932,0.46250272
4,0.9118309,0.013729041,0.45613208,0.44196978
5,0.86569214,0.0066716014,0.43599948,0.42302108
6,0.8248297,0.0034957784,0.41661257,0.40472126
7,0.78702784,0.0021568253,0.39801747,0.38685352
8,0.751395,0.0016102854,0.38026118,0.36952353
9,0.71762735,0.0013928553,0.3633575,0.35287687
10,0.68563926,0.0013152149,0.34730962,0.33701447
11,0.6554492,0.0013042932,0.33213672,0.3220081
12,0.6271485,0.0013338192,0.3178854,0.30792922
13,0.6008753,0.0013936807,0.30462438,0.2948572
14,0.57678175,0.0014771459,0.29243156,0.2828731
15,0.55500555,0.0015773599,0.28137955,0.27204862
16,0.5356481,0.0016875572,0.271524,0.2624365
17,0.5187585,0.0018018199,0.2628941,0.2540625
18,0.5043224,0.001915391,0.25548694,0.24692002
19,0.49225745,0.0020246431,0.2492652,0.24096763
20,0.48241538,0.0021268823,0.24415831,0.23613016
21,0.4745907,0.002220098,0.2400671,0.2323035
22,0.46853572,0.0023027915,0.23687086,0.22936204
23,0.46397933,0.0023739082,0.23443702,0.22716844
24,0.46064678,0.0024328518,0.23263022,0.22558372
25,0.45827708,0.0024795036,0.23132165,0.22447598
26,0.45663747,0.0025142056,0.23039551,0.22372779
27,0.45553106,0.0025376966,0.22975329,0.2232401
28,0.45480028,0.002551007,0.2293154,0.22293384
29,0.45432457,0.0025553436,0.22902031,0.22274892
30,0.4540165,0.0025520008,0.22882251,0.22264194
31,0.45381466,0.0025422566,0.2286896,0.22258279
32,0.4536782,0.0025273124,0.22859924,0.22255166
33,0.45358077,0.0025082503,0.22853646,0.22253604
34,0.4535058,0.002486014,0.2284914,0.22252838
35,0.45344353,0.0024613887,0.22845784,0.22252429
36,0.45338807,0.0024350253,0.22843161,0.2225215
37,0.45333633,0.0024074437,0.22841015,0.22251873
38,0.45328635,0.00237905,0.22839181,0.2225155
39,0.4532372,0.0023501595,0.22837546,0.22251162
40,0.45318842,0.002321011,0.22836038,0.22250704
41,0.4531397,0.0022917811,0.22834606,0.2225018
42,0.45309085,0.0022626007,0.22833224,0.22249599
43,0.4530418,0.002233565,0.22831857,0.22248967
44,0.4529926,0.0022047416,0.22830495,0.22248283
45,0.45294303,0.0021761775,0.2282913,0.22247556
46,0.4528932,0.002147908,0.22827744,0.22246787
47,0.45284313,0.0021199554,0.22826341,0.22245975
48,0.45279264,0.0020923368,0.22824907,0.22245124
49,0.45274186,0.0020650602,0.22823448,0.2224423
50,0.4526906,0.0020381322,0.22821955,0.22243294
51,0.452639,0.0020115585,0.22820432,0.22242315
52,0.4525869,0.0019853397,0.22818871,0.22241291
53,0.45253444,0.001959477,0.22817273,0.22240222
54,0.45248142,0.001933973,0.22815633,0.22239105
55,0.4524278,0.0019088244,0.22813961,0.22237942
56,0.4523738,0.0018840311,0.22812244,0.22236729
57,0.45231906,0.0018595932,0.22810486,0.22235462
58,0.45226383,0.0018355083,0.22808687,0.22234146
59,0.4522079,0.0018117744,0.2280684,0.22232771
60,0.45215136,0.0017883896,0.22804949,0.22231348
61,0.452094,0.0017653523,0.22803012,0.22229859
62,0.452036,0.0017426597,0.2280102,0.22228317
63,0.4519772,0.0017203076,0.22798982,0.2222671
