,loss,res_loss,bound_loss
0,"tf.Tensor(0.00038523087, shape=(), dtype=float32)","tf.Tensor(1.0706442e-07, shape=(), dtype=float32)","tf.Tensor(5.2601015e-05, shape=(), dtype=float32)"
1,"tf.Tensor(0.031478092, shape=(), dtype=float32)","tf.Tensor(0.00092907296, shape=(), dtype=float32)","tf.Tensor(0.020404777, shape=(), dtype=float32)"
2,"tf.Tensor(0.00038023927, shape=(), dtype=float32)","tf.Tensor(2.3430388e-07, shape=(), dtype=float32)","tf.Tensor(5.0964154e-05, shape=(), dtype=float32)"
3,"tf.Tensor(0.00037950277, shape=(), dtype=float32)","tf.Tensor(5.42982e-07, shape=(), dtype=float32)","tf.Tensor(4.944262e-05, shape=(), dtype=float32)"
4,"tf.Tensor(0.00037799103, shape=(), dtype=float32)","tf.Tensor(3.8097144e-07, shape=(), dtype=float32)","tf.Tensor(4.930454e-05, shape=(), dtype=float32)"
5,"tf.Tensor(0.00037659012, shape=(), dtype=float32)","tf.Tensor(4.4044182e-07, shape=(), dtype=float32)","tf.Tensor(4.8498874e-05, shape=(), dtype=float32)"
6,"tf.Tensor(0.00037787738, shape=(), dtype=float32)","tf.Tensor(7.403382e-07, shape=(), dtype=float32)","tf.Tensor(4.9759197e-05, shape=(), dtype=float32)"
7,"tf.Tensor(0.00037578263, shape=(), dtype=float32)","tf.Tensor(5.437366e-07, shape=(), dtype=float32)","tf.Tensor(4.8135822e-05, shape=(), dtype=float32)"
8,"tf.Tensor(0.0003744001, shape=(), dtype=float32)","tf.Tensor(5.7568906e-07, shape=(), dtype=float32)","tf.Tensor(4.755906e-05, shape=(), dtype=float32)"
9,"tf.Tensor(0.00037145123, shape=(), dtype=float32)","tf.Tensor(7.3146305e-07, shape=(), dtype=float32)","tf.Tensor(4.636937e-05, shape=(), dtype=float32)"
10,"tf.Tensor(0.0004186927, shape=(), dtype=float32)","tf.Tensor(2.180858e-06, shape=(), dtype=float32)","tf.Tensor(6.7466004e-05, shape=(), dtype=float32)"
11,"tf.Tensor(0.0003713585, shape=(), dtype=float32)","tf.Tensor(7.703426e-07, shape=(), dtype=float32)","tf.Tensor(4.635117e-05, shape=(), dtype=float32)"
12,"tf.Tensor(0.0003686982, shape=(), dtype=float32)","tf.Tensor(7.020701e-07, shape=(), dtype=float32)","tf.Tensor(4.5217654e-05, shape=(), dtype=float32)"
13,"tf.Tensor(0.00037820774, shape=(), dtype=float32)","tf.Tensor(8.784249e-07, shape=(), dtype=float32)","tf.Tensor(5.382564e-05, shape=(), dtype=float32)"
14,"tf.Tensor(0.00036801927, shape=(), dtype=float32)","tf.Tensor(6.796016e-07, shape=(), dtype=float32)","tf.Tensor(4.526878e-05, shape=(), dtype=float32)"
15,"tf.Tensor(0.00036619036, shape=(), dtype=float32)","tf.Tensor(6.360376e-07, shape=(), dtype=float32)","tf.Tensor(4.451794e-05, shape=(), dtype=float32)"
16,"tf.Tensor(0.0003661822, shape=(), dtype=float32)","tf.Tensor(6.360722e-07, shape=(), dtype=float32)","tf.Tensor(4.44983e-05, shape=(), dtype=float32)"
17,"tf.Tensor(0.00036499547, shape=(), dtype=float32)","tf.Tensor(6.1674507e-07, shape=(), dtype=float32)","tf.Tensor(4.4063607e-05, shape=(), dtype=float32)"
18,"tf.Tensor(0.00036311767, shape=(), dtype=float32)","tf.Tensor(6.8804184e-07, shape=(), dtype=float32)","tf.Tensor(4.3979617e-05, shape=(), dtype=float32)"
19,"tf.Tensor(0.00036310178, shape=(), dtype=float32)","tf.Tensor(6.719058e-07, shape=(), dtype=float32)","tf.Tensor(4.3880114e-05, shape=(), dtype=float32)"
20,"tf.Tensor(0.00036095927, shape=(), dtype=float32)","tf.Tensor(7.184292e-07, shape=(), dtype=float32)","tf.Tensor(4.2973184e-05, shape=(), dtype=float32)"
21,"tf.Tensor(0.00036780786, shape=(), dtype=float32)","tf.Tensor(1.4169829e-06, shape=(), dtype=float32)","tf.Tensor(4.6959085e-05, shape=(), dtype=float32)"
22,"tf.Tensor(0.00036034983, shape=(), dtype=float32)","tf.Tensor(8.02872e-07, shape=(), dtype=float32)","tf.Tensor(4.2809548e-05, shape=(), dtype=float32)"
23,"tf.Tensor(0.00035829906, shape=(), dtype=float32)","tf.Tensor(8.043057e-07, shape=(), dtype=float32)","tf.Tensor(4.1853455e-05, shape=(), dtype=float32)"
24,"tf.Tensor(0.0003632922, shape=(), dtype=float32)","tf.Tensor(9.0156897e-07, shape=(), dtype=float32)","tf.Tensor(4.5939167e-05, shape=(), dtype=float32)"
25,"tf.Tensor(0.0003575642, shape=(), dtype=float32)","tf.Tensor(8.157147e-07, shape=(), dtype=float32)","tf.Tensor(4.1701554e-05, shape=(), dtype=float32)"
26,"tf.Tensor(0.00035580777, shape=(), dtype=float32)","tf.Tensor(6.9320373e-07, shape=(), dtype=float32)","tf.Tensor(4.0868712e-05, shape=(), dtype=float32)"
27,"tf.Tensor(0.00035721596, shape=(), dtype=float32)","tf.Tensor(3.2841206e-07, shape=(), dtype=float32)","tf.Tensor(4.2934873e-05, shape=(), dtype=float32)"
