,loss,bound_loss,residual_loss,u_loss,v_loss,p_loss
0,0.4125473,0.41248187,6.545246e-05,0.1830831,0.18153141,0.04786735
1,0.41134351,0.41131324,3.0296065e-05,0.18257661,0.18101588,0.04772075
2,0.4101234,0.41010636,1.6973205e-05,0.18207024,0.18048702,0.047549155
3,0.40881792,0.40880507,1.2828142e-05,0.18154034,0.17992434,0.047340397
4,0.4073681,0.40735427,1.3796043e-05,0.18096283,0.17930934,0.04708209
5,0.4057228,0.4057037,1.9151714e-05,0.18031451,0.17862664,0.0467625
6,0.40384322,0.40381354,2.9710844e-05,0.17957613,0.17786607,0.046371285
7,0.4017087,0.40166235,4.6343594e-05,0.17873535,0.17702645,0.045900594
8,0.39932346,0.39925477,6.866589e-05,0.1777893,0.17611901,0.045346476
9,0.3967247,0.39662972,9.50065e-05,0.1767486,0.17517072,0.044710375
10,0.39399222,0.39386737,0.00012480137,0.17564215,0.1742249,0.044000357
11,0.3912531,0.39109087,0.00016225904,0.17452167,0.17333774,0.04323144
12,0.3886702,0.3884531,0.00021710228,0.17346196,0.17256649,0.042424664
13,0.38640264,0.3861033,0.00029934928,0.17254934,0.17194927,0.041604653
14,0.38454407,0.38413253,0.0004115749,0.17185198,0.17148563,0.040794898
15,0.38307738,0.38253397,0.0005433899,0.17138486,0.17113759,0.040011533
16,0.38189352,0.38122407,0.00066946924,0.17110209,0.1708607,0.03926128
17,0.38087553,0.38011646,0.0007590536,0.17093144,0.1706353,0.038549725
18,0.3799718,0.37917432,0.0007974474,0.17081912,0.17046371,0.037891485
19,0.37919343,0.3783987,0.00079474447,0.17074466,0.170346,0.037307993
20,0.37856203,0.37779132,0.0007707336,0.17070383,0.17026998,0.036817484
21,0.37807712,0.37733713,0.0007399996,0.17068852,0.17021857,0.03643003
22,0.37772068,0.37701088,0.00070979225,0.17068508,0.17017874,0.036147047
23,0.37746894,0.37678656,0.00068237196,0.17068267,0.17014429,0.03595961
24,0.37729686,0.37663922,0.0006576323,0.17067763,0.17011397,0.035847653
25,0.37717912,0.3765446,0.00063452683,0.17067118,0.17008881,0.035784625
26,0.37709194,0.37648037,0.0006115761,0.17066517,0.17006944,0.035745744
27,0.37701738,0.3764295,0.00058785285,0.17066024,0.17005512,0.03571417
28,0.37694582,0.3763823,0.0005635064,0.17065604,0.17004392,0.035682354
29,0.3768748,0.37633547,0.00053931953,0.17065209,0.17003396,0.035649408
30,0.3768053,0.37628916,0.0005161444,0.17064819,0.17002384,0.035617113
31,0.37673873,0.376244,0.00049473136,0.1706442,0.17001292,0.035586942
32,0.37667575,0.3762001,0.00047564245,0.17064004,0.170001,0.035559073
33,0.376616,0.37615693,0.00045909514,0.17063574,0.16998835,0.03553284
34,0.37655917,0.37611422,0.00044495365,0.17063144,0.16997528,0.035507493
35,0.37650472,0.37607184,0.00043292326,0.17062716,0.16996214,0.035482503
36,0.37645248,0.3760298,0.00042271233,0.17062305,0.16994913,0.0354576
37,0.3764022,0.3759881,0.000414047,0.17061903,0.16993636,0.035432734
38,0.3763537,0.37594703,0.0004066623,0.1706151,0.16992393,0.035407998
39,0.37630698,0.37590662,0.00040034638,0.17061132,0.16991177,0.035383523
40,0.37626186,0.3758669,0.00039497242,0.1706076,0.16989988,0.03535941
41,0.37621823,0.37582776,0.0003904678,0.1706039,0.16988817,0.035335712
42,0.37617606,0.37578925,0.0003867736,0.17060018,0.16987659,0.03531247
43,0.37613505,0.37575126,0.00038383255,0.17059648,0.1698651,0.035289675
44,0.37609538,0.37571377,0.00038159042,0.17059273,0.16985372,0.035267316
45,0.3760568,0.37567678,0.00037999032,0.17058897,0.16984245,0.03524538
46,0.3760193,0.37564033,0.00037897084,0.17058522,0.16983128,0.035223838
47,0.37598282,0.37560433,0.00037847323,0.17058143,0.1698202,0.035202675
48,0.37594724,0.3755688,0.0003784455,0.17057766,0.16980925,0.03518188
49,0.3759126,0.37553376,0.0003788415,0.17057388,0.16979843,0.035161424
50,0.37587875,0.37549916,0.00037961893,0.1705701,0.16978772,0.035141304
51,0.37584567,0.37546492,0.00038074082,0.17056629,0.16977711,0.0351215
52,0.37581328,0.3754311,0.00038217488,0.17056249,0.1697666,0.035102002
53,0.3757816,0.37539765,0.0003838901,0.17055869,0.16975617,0.03508281
54,0.37575045,0.3753646,0.000385857,0.17055486,0.16974585,0.035063885
55,0.37571993,0.37533188,0.00038804894,0.17055102,0.16973563,0.03504523
56,0.37568992,0.37529945,0.00039044188,0.17054719,0.16972545,0.03502681
57,0.37566036,0.37526733,0.0003930137,0.17054331,0.16971537,0.035008628
58,0.37563118,0.37523547,0.00039574457,0.17053944,0.16970538,0.03499064
59,0.37560242,0.3752038,0.00039861718,0.17053553,0.16969545,0.034972843
60,0.37557405,0.37517247,0.00040161557,0.17053165,0.16968559,0.03495521
61,0.37554598,0.37514123,0.0004047257,0.17052773,0.1696758,0.03493772
62,0.37551814,0.3751102,0.00040793483,0.17052379,0.16966607,0.034920353
63,0.3754906,0.37507933,0.00041123125,0.17051986,0.16965638,0.034903094
64,0.3754632,0.37504855,0.00041460464,0.1705159,0.16964677,0.03488592
65,0.37543592,0.37501788,0.00041804556,0.17051192,0.16963716,0.0348688
66,0.37540883,0.37498727,0.00042154553,0.17050794,0.16962759,0.034851737
67,0.3753818,0.3749567,0.0004250972,0.17050393,0.16961809,0.03483469
68,0.37535486,0.37492615,0.00042869407,0.17049992,0.16960856,0.034817655
69,0.37532797,0.37489563,0.00043233018,0.1704959,0.16959913,0.0348006
70,0.37530106,0.37486508,0.00043600108,0.17049189,0.16958967,0.03478352
71,0.37527415,0.37483445,0.000439702,0.17048784,0.16958022,0.034766395
72,0.37524718,0.37480378,0.00044342986,0.17048377,0.16957082,0.0347492
73,0.37522015,0.37477297,0.00044718166,0.17047969,0.16956137,0.03473192
74,0.37519306,0.3747421,0.00045095469,0.1704756,0.16955195,0.034714546
75,0.37516585,0.37471107,0.00045474718,0.1704715,0.16954252,0.034697056
76,0.3751384,0.37467986,0.0004585581,0.17046735,0.16953309,0.034679435
77,0.37511092,0.3746485,0.0004623859,0.17046323,0.1695236,0.034661666
78,0.37508318,0.37461695,0.00046622995,0.1704591,0.1695141,0.034643736
79,0.37505525,0.37458515,0.0004700905,0.17045493,0.1695046,0.03462563
80,0.37502712,0.37455314,0.00047396752,0.17045078,0.16949505,0.03460734
81,0.37499872,0.37452084,0.0004778611,0.17044657,0.16948545,0.03458884
82,0.37497005,0.3744883,0.0004817723,0.17044237,0.1694758,0.034570124
83,0.37494117,0.37445542,0.00048570233,0.17043817,0.16946611,0.034551173
84,0.37491193,0.37442225,0.00048965204,0.17043392,0.16945636,0.034531977
85,0.37488237,0.37438872,0.00049362314,0.17042966,0.16944654,0.03451252
86,0.37485248,0.37435484,0.0004976175,0.17042542,0.16943666,0.034492794
87,0.37482223,0.3743206,0.000501637,0.17042112,0.16942668,0.034472775
88,0.37479162,0.37428594,0.00050568354,0.17041683,0.16941665,0.034452453
89,0.37476063,0.37425083,0.0005097599,0.17041251,0.16940653,0.03443182
90,0.37472922,0.37421533,0.0005138684,0.17040817,0.1693963,0.034410853
91,0.37469736,0.37417933,0.0005180115,0.17040381,0.16938598,0.03438954
92,0.37466502,0.37414283,0.0005221922,0.17039943,0.16937555,0.034367867
93,0.3746323,0.37410584,0.0005264137,0.17039505,0.16936502,0.03434582
94,0.37459904,0.37406835,0.0005306789,0.17039062,0.16935435,0.034323376
95,0.37456527,0.37403026,0.0005349913,0.17038617,0.16934356,0.03430053
96,0.37453097,0.3739916,0.0005393544,0.17038171,0.16933262,0.034277257
97,0.3744961,0.37395233,0.00054377166,0.17037722,0.16932157,0.03425354
98,0.3744607,0.37391245,0.0005482469,0.17037271,0.16931035,0.03422936
99,0.37442464,0.3738719,0.0005527843,0.17036818,0.16929899,0.034204707
100,0.37438804,0.37383065,0.0005573877,0.17036362,0.16928744,0.034179553
101,0.3743507,0.37378865,0.00056206144,0.17035902,0.16927576,0.034153875
102,0.37431273,0.37374595,0.0005668099,0.17035438,0.16926387,0.034127664
103,0.37427408,0.37370247,0.0005716377,0.17034975,0.1692518,0.03410089
104,0.37423468,0.37365812,0.0005765494,0.17034505,0.16923952,0.03407353
105,0.3741945,0.37361297,0.00058155,0.17034034,0.16922705,0.03404557
106,0.37415358,0.37356693,0.0005866444,0.17033558,0.16921437,0.034016985
107,0.37411183,0.37352005,0.00059183786,0.1703308,0.16920146,0.03398775
108,0.37406927,0.37347212,0.0005971353,0.17032596,0.1691883,0.033957843
109,0.3740258,0.37342328,0.0006025422,0.17032108,0.16917494,0.033927243
110,0.3739815,0.37337345,0.0006080639,0.17031617,0.16916129,0.033895932
111,0.37393624,0.37332255,0.0006137057,0.17031123,0.1691474,0.03386389
112,0.37389,0.37327054,0.0006194728,0.1703062,0.16913323,0.0338311
113,0.3738429,0.3732175,0.00062537054,0.17030115,0.16911879,0.033797555
114,0.37379473,0.37316334,0.00063140376,0.17029604,0.16910402,0.033763237
115,0.3737456,0.373108,0.00063757715,0.17029089,0.16908899,0.033728145
116,0.3736955,0.37305158,0.00064389507,0.17028566,0.16907363,0.03369229
117,0.37364432,0.37299398,0.0006503613,0.17028037,0.16905794,0.033655666
118,0.37359223,0.37293524,0.00065697875,0.17027502,0.1690419,0.033618312
119,0.37353915,0.3728754,0.0006637492,0.17026961,0.16902556,0.033580247
120,0.37348512,0.37281445,0.0006706744,0.17026412,0.16900882,0.033541515
121,0.37343025,0.37275246,0.00067775336,0.17025852,0.16899177,0.033502176
122,0.3733745,0.37268955,0.0006849848,0.17025287,0.16897434,0.033462297
123,0.37331802,0.37262565,0.00069236493,0.17024712,0.16895655,0.033421986
124,0.3732609,0.37256098,0.0006998878,0.17024128,0.16893837,0.033381343
125,0.37320322,0.37249565,0.0007075467,0.17023535,0.16891983,0.0333405
126,0.37314513,0.3724298,0.00071533036,0.17022932,0.16890089,0.03329961
127,0.3730868,0.3723636,0.00072322664,0.17022315,0.1688816,0.03325884
128,0.37302837,0.37229714,0.00073122024,0.17021684,0.16886191,0.033218376
129,0.37297007,0.3722308,0.0007392933,0.17021047,0.16884187,0.033178438
130,0.37291208,0.37216467,0.0007474251,0.17020395,0.16882148,0.03313922
131,0.37285456,0.37209898,0.0007555926,0.17019726,0.16880074,0.033100955
132,0.3727977,0.37203398,0.00076377054,0.17019047,0.16877964,0.03306386
133,0.3727418,0.37196985,0.00077193073,0.17018351,0.16875823,0.033028137
134,0.3726869,0.37190685,0.00078004354,0.17017636,0.16873649,0.032994
135,0.37263325,0.37184516,0.00078807736,0.17016912,0.16871445,0.032961614
136,0.37258092,0.37178487,0.0007959992,0.17016163,0.16869211,0.032931115
137,0.37252992,0.37172616,0.00080377504,0.17015405,0.16866948,0.032902636
138,0.3724804,0.37166902,0.0008113718,0.17014626,0.16864654,0.03287622
139,0.37243226,0.3716135,0.0008187555,0.17013831,0.1686233,0.032851916
