,loss,bound_loss,residual_loss,u_loss,v_loss,p_loss
0,3.3648803,3.3513503,0.013529758,2.675321,0.021953538,0.6540759
1,3.0067906,2.9778116,0.028978478,2.3455017,0.021849282,0.61046076
2,2.372546,2.2998013,0.07274471,1.7284956,0.021784106,0.5495216
3,1.6878612,1.4473916,0.24046962,0.96422195,0.021859774,0.46130997
4,1.4210302,1.0676674,0.35336277,0.67271584,0.021925354,0.37302616
5,1.1681702,0.99038875,0.17778139,0.66242516,0.021988917,0.30597478
6,1.0805757,0.9582592,0.12231656,0.65380746,0.022136739,0.28231505
7,1.0566434,0.9589737,0.0976696,0.63693666,0.022227691,0.29980946
8,1.0432533,0.94240534,0.10084806,0.6341893,0.022260167,0.28595576
9,1.0234883,0.89993656,0.123551644,0.62809396,0.022375379,0.24946733
10,1.0057383,0.8795746,0.12616363,0.62057114,0.022637924,0.23636556
11,0.9844348,0.8816597,0.10277517,0.61651623,0.02314046,0.24200296
12,0.96328336,0.8715924,0.091691025,0.61448646,0.02412817,0.23297778
13,0.94511956,0.84955347,0.09556607,0.61091816,0.026079446,0.21255593
14,0.92700565,0.8390628,0.08794288,0.60428387,0.029957902,0.20482099
15,0.9100992,0.834102,0.0759973,0.59837735,0.036612086,0.19911255
16,0.8982816,0.81827813,0.08000346,0.59502536,0.042649217,0.18060353
17,0.88943785,0.80134785,0.088089995,0.59050035,0.043226715,0.16762087
18,0.88188,0.78938353,0.0924964,0.5854564,0.04122082,0.16270635
19,0.8756958,0.77688074,0.098814934,0.58237123,0.039962538,0.15454704
20,0.86932087,0.77130336,0.09801755,0.5791127,0.040070035,0.15212056
21,0.86348325,0.7682931,0.09519012,0.5748415,0.040710393,0.15274122
22,0.8591585,0.76344097,0.09571749,0.57110846,0.041036837,0.1512957
23,0.8557723,0.7598526,0.09591971,0.56757563,0.040855873,0.15142111
24,0.8529197,0.7547718,0.09814787,0.56392753,0.040315136,0.15052919
25,0.85043657,0.7506362,0.099800386,0.5604427,0.03977391,0.15041956
26,0.84766024,0.74745786,0.1002025,0.55732876,0.039405026,0.15072408
27,0.8451265,0.7443259,0.10080067,0.5544774,0.039134488,0.15071402
28,0.8429159,0.74203336,0.10088267,0.5515983,0.038826954,0.15160802
29,0.8409956,0.73951274,0.10148282,0.54892004,0.038385004,0.15220767
