,loss,bound_loss,residual_loss,u_loss,v_loss
0,4.639595,4.6395617,3.3738383e-05,4.6395597,1.1416481e-06
1,4.4206915,4.419756,0.0009356225,4.419755,1.1150237e-06
2,4.380969,4.3807077,0.00026153255,4.380707,1.0654263e-06
3,4.2275124,4.227501,1.1603649e-05,4.2275004,6.03652e-07
4,4.2493143,4.249297,1.7181035e-05,4.249297,2.5658417e-07
5,4.3207674,4.320737,3.0196901e-05,4.320737,1.5015834e-07
6,4.218817,4.2187104,0.00010669245,4.2187104,1.1963117e-07
7,4.2068644,4.2067103,0.00015440045,4.2067103,3.8825146e-08
8,4.2301416,4.2299128,0.00022890633,4.2299128,3.581193e-08
9,4.190462,4.1900196,0.0004430706,4.1900196,4.2656914e-08
10,4.166181,4.1652207,0.0009605855,4.1652207,1.4123962e-08
11,4.14239,4.1400576,0.0023324993,4.1400576,1.3800997e-08
12,4.037682,4.0286965,0.008985473,4.0286965,5.4514828e-08
13,3.9314065,3.900195,0.031211099,3.900195,3.3339128e-07
14,3.8699546,3.8229718,0.046982743,3.8229709,7.9346285e-07
15,3.906166,3.8712296,0.034936827,3.8712287,6.782526e-07
16,3.8558726,3.8261235,0.029749364,3.8261228,8.842627e-07
17,3.7460678,3.7028267,0.043240894,3.7028263,6.854364e-07
18,3.7879844,3.7260818,0.061902814,3.7260811,8.3246096e-07
19,3.6430717,3.5701199,0.072952,3.5701191,8.447795e-07
20,3.607095,3.529311,0.07778356,3.5293088,2.525806e-06
21,3.6769996,3.6041977,0.07280203,3.6041942,3.6212987e-06
22,3.608818,3.5447037,0.06411414,3.5446937,9.750538e-06
23,3.5982604,3.5310512,0.0672091,3.531039,1.2561673e-05
24,3.585154,3.5104656,0.07468812,3.5104518,1.3819119e-05
25,3.5440114,3.4690826,0.07492854,3.46907,1.2567572e-05
26,3.5501118,3.4782386,0.07187316,3.4782326,6.2124614e-06
27,3.5343795,3.4637997,0.07057989,3.4637952,4.7465583e-06
28,3.5064888,3.4336734,0.07281528,3.43367,3.546766e-06
29,3.4986465,3.4246616,0.073985025,3.4246566,4.98993e-06
30,3.471342,3.3978698,0.073472016,3.3978634,6.6697844e-06
31,3.4591694,3.3858597,0.073309764,3.3858528,6.881096e-06
32,3.4382043,3.3640468,0.07415713,3.364037,1.0102762e-05
33,3.409565,3.3337467,0.075818144,3.3337312,1.5699325e-05
34,3.394832,3.3180313,0.07680019,3.3180146,1.6886228e-05
35,3.3681915,3.2905211,0.07767009,3.2905116,9.789054e-06
36,3.3388276,3.259171,0.07965657,3.2591643,6.1215715e-06
37,3.3078065,3.2252383,0.08256777,3.2252307,7.842264e-06
38,3.276095,3.1914525,0.08464263,3.1914449,7.493084e-06
39,3.2412095,3.1545272,0.086682014,3.1545196,7.753965e-06
40,3.2015889,3.1109293,0.09065955,3.1109185,1.06910675e-05
41,3.1579113,3.061005,0.09690615,3.060991,1.3964762e-05
42,3.1082964,3.003637,0.10465946,3.0036235,1.3610789e-05
43,3.05646,2.9422913,0.114169,2.9422808,1.0432875e-05
44,2.9982674,2.8714597,0.12680726,2.8714511,8.8872885e-06
45,2.9353096,2.791867,0.14344242,2.7918572,9.702326e-06
46,2.8689075,2.7054121,0.16349551,2.705401,1.1283333e-05
47,2.8018088,2.613995,0.18781373,2.6139827,1.2169718e-05
48,2.7489524,2.5306888,0.21826398,2.5306754,1.32542555e-05
49,2.7455626,2.498372,0.24719048,2.4983568,1.5188501e-05
50,2.8354018,2.588869,0.24653244,2.5888515,1.775227e-05
51,2.7547946,2.471557,0.28323776,2.471537,1.9545681e-05
52,2.560659,2.157248,0.40341085,2.1572254,2.259102e-05
53,2.5458684,2.0831454,0.46272317,2.0831196,2.565379e-05
54,2.5887265,2.134302,0.4544247,2.1342783,2.352788e-05
55,2.5809662,2.0560794,0.5248869,2.0560517,2.7637221e-05
56,2.7326348,2.3139029,0.41873175,2.3138657,3.7304864e-05
57,2.457574,1.9512482,0.5063255,1.9512036,4.4672186e-05
58,2.4016707,1.7499098,0.65176076,1.7497374,0.00017231543
59,2.5810304,2.0490575,0.53197294,2.0489607,9.689558e-05
60,2.4491794,1.8844023,0.5647771,1.884353,4.908822e-05
61,2.3964744,1.7963196,0.6001546,1.7962809,3.8804646e-05
62,2.3425212,1.7638767,0.5786443,1.7638538,2.2981654e-05
63,2.4029388,1.8258953,0.57704365,1.8258553,4.000867e-05
64,2.334842,1.7431399,0.5917021,1.743082,5.7867484e-05
65,2.2803187,1.6729721,0.60734665,1.6728894,8.283595e-05
66,2.305634,1.7440498,0.561584,1.7439458,0.00010398108
67,2.2547672,1.6787453,0.576022,1.6786182,0.00012704714
68,2.238867,1.6744337,0.5644334,1.6742967,0.00013686778
69,2.2007987,1.6125062,0.5882926,1.6123232,0.00018293604
70,2.2277539,1.6734375,0.5543163,1.6732918,0.00014568493
71,2.1784263,1.5962827,0.5821435,1.5961362,0.00014649911
72,2.1855779,1.6349375,0.55064034,1.6348222,0.000115124465
73,2.1486704,1.5777215,0.5709489,1.5776075,0.000113966795
74,2.1445572,1.5973899,0.5471672,1.5972352,0.00015480423
75,2.1062093,1.5374582,0.568751,1.5372638,0.00019446133
76,2.1237464,1.576728,0.5470184,1.5765651,0.00016270197
77,2.0977116,1.5341084,0.563603,1.5339434,0.00016489268
78,2.1003978,1.5432793,0.5571187,1.5430692,0.00020994883
79,2.0949874,1.5354893,0.55949813,1.535327,0.00016233706
80,2.0827904,1.531132,0.5516585,1.5309224,0.00020958607
81,2.06853,1.519304,0.54922605,1.5190799,0.00022404997
82,2.0524623,1.4935515,0.55891097,1.4933517,0.00019956785
83,2.0542338,1.5056263,0.5486074,1.5054322,0.00019419534
84,2.0411057,1.4803405,0.5607651,1.4801599,0.00018050056
85,2.0383456,1.4897696,0.548576,1.4895626,0.00020682384
86,2.0335097,1.4786274,0.5548824,1.4783245,0.00030290172
87,2.0326214,1.4805876,0.5520338,1.4803499,0.00023756453
88,2.0276234,1.4729102,0.55471313,1.4726821,0.00022823278
89,2.0153728,1.4620633,0.55330956,1.4618614,0.00020193537
90,2.0113528,1.4614768,0.54987603,1.4612567,0.00022011837
91,1.9979658,1.4463052,0.5516607,1.4460099,0.00029517623
92,2.004098,1.4525795,0.5515185,1.4522464,0.00033294744
93,1.9965937,1.4410322,0.5555614,1.4408138,0.00021827915
94,1.9976562,1.4451658,0.5524907,1.4449253,0.00024050436
95,1.9856455,1.4313414,0.554304,1.4310752,0.0002662185
96,1.9883496,1.438093,0.5502565,1.4377247,0.0003682929
97,1.988752,1.434084,0.55466807,1.4337533,0.00033057522
98,1.9815525,1.4244579,0.5570947,1.4242051,0.00025274826
99,1.980745,1.4307506,0.5499941,1.4304825,0.00026826933
100,1.9722487,1.4170059,0.5552429,1.4167131,0.00029265205
101,1.9631853,1.4116123,0.5515731,1.4113147,0.000297738
102,1.9675745,1.4179295,0.54964495,1.4175063,0.00042311428
103,1.9653304,1.4083202,0.55701,1.4079372,0.00038308764
104,1.972677,1.4132395,0.5594377,1.4129579,0.00028155424
105,1.9678137,1.4099361,0.55787766,1.4096725,0.0002635085
106,1.9605904,1.4031475,0.5574428,1.4028798,0.00026780498
107,1.9539223,1.4008704,0.5530519,1.4005674,0.00030310027
108,1.9458473,1.3953279,0.55051947,1.3949387,0.00038907156
109,1.9460957,1.395797,0.5502988,1.3953778,0.00041931355
110,1.9419514,1.3895034,0.55244803,1.3891634,0.00033991394
111,1.9434723,1.390791,0.55268145,1.3904335,0.00035743072
112,1.9394112,1.3840079,0.55540335,1.38365,0.0003579381
113,1.9381422,1.3849936,0.55314857,1.3846056,0.00038795103
114,1.9378431,1.3842099,0.55363315,1.3838074,0.00040254433
115,1.9318482,1.3774823,0.5543658,1.3771185,0.00036385754
116,1.9338665,1.3829578,0.5509086,1.3825662,0.0003918577
117,1.9292667,1.3755496,0.55371714,1.3751522,0.00039732317
118,1.9263455,1.3734139,0.5529315,1.3730153,0.00039859727
119,1.9287102,1.3771889,0.5515213,1.3767726,0.0004162292
120,1.9207869,1.365836,0.55495083,1.3654459,0.00039026182
121,1.9233925,1.372757,0.5506355,1.3723375,0.0004195408
122,1.9200926,1.3666412,0.5534515,1.3662204,0.00042081118
123,1.9156325,1.362126,0.5535067,1.3617157,0.00041016744
124,1.9190826,1.3684269,0.55065584,1.3679886,0.00043840436
125,1.9117998,1.3571131,0.5546867,1.3566955,0.0004174108
126,1.9127022,1.3619194,0.5507826,1.361481,0.00043845354
127,1.9131062,1.3607622,0.5523437,1.3603117,0.00045061918
128,1.9059206,1.3518429,0.55407774,1.3514264,0.00041657206
129,1.9102709,1.3610747,0.5491961,1.3606083,0.00046648417
130,1.9055172,1.3511211,0.55439603,1.3506687,0.00045227754
131,1.902693,1.3512032,0.55148953,1.350765,0.00043820607
132,1.90665,1.3566648,0.5499851,1.3561853,0.00047948054
133,1.8966763,1.3420413,0.5546351,1.341603,0.00043806527
134,1.9011399,1.3534564,0.5476836,1.3529613,0.0004949738
135,1.9008907,1.347454,0.55343664,1.346964,0.0004900581
136,1.8928314,1.3392297,0.5536016,1.3387997,0.00042989623
137,1.9000919,1.3539188,0.5461729,1.353425,0.00049380685
138,1.8870083,1.3324721,0.5545363,1.3319951,0.00047690998
139,1.8917958,1.345477,0.54631865,1.3449612,0.0005157704
140,1.8945469,1.3430268,0.55152017,1.3425144,0.0005123907
141,1.8832238,1.3293045,0.5539193,1.3288585,0.0004459234
142,1.891791,1.3476026,0.5441883,1.3470724,0.00053038576
143,1.8845049,1.330796,0.5537089,1.3302749,0.0005212012
144,1.8815569,1.3326044,0.5489524,1.3321203,0.00048415386
145,1.888999,1.3427728,0.54622614,1.3422439,0.0005288805
146,1.8723514,1.3188541,0.5534972,1.3183634,0.0004907498
147,1.8830954,1.3413197,0.5417758,1.3407351,0.00058449636
148,1.8828869,1.3295475,0.55333936,1.3290026,0.0005448573
149,1.8744682,1.3213295,0.55313873,1.3208578,0.00047175548
150,1.8838543,1.3434241,0.5404302,1.3429048,0.0005193682
151,1.859799,1.3070419,0.55275697,1.3064715,0.0005704636
152,1.8841677,1.3432539,0.5409137,1.342643,0.0006109654
153,1.8684536,1.3151085,0.5533452,1.3146303,0.00047811074
154,1.8707407,1.3225341,0.5482067,1.3219635,0.00057041185
155,1.8751503,1.3330837,0.5420667,1.3325126,0.0005709327
156,1.862936,1.3078823,0.5550538,1.3072817,0.0006006355
157,1.8815848,1.3422507,0.53933406,1.3416554,0.0005954211
158,1.8751659,1.310719,0.56444687,1.3101847,0.0005343001
159,1.8710048,1.3252932,0.5457117,1.3248177,0.00047555077
160,1.8628187,1.326596,0.53622264,1.3260558,0.0005403283
161,1.846262,1.2961566,0.5501053,1.2954708,0.00068599597
162,1.873262,1.3402679,0.5329941,1.3396211,0.0006468426
163,1.8612324,1.2947664,0.56646585,1.294177,0.00058941654
164,1.8677219,1.3275313,0.54019064,1.3270093,0.0005220965
165,1.8577334,1.3165439,0.54118943,1.3160089,0.0005349467
166,1.8383157,1.2935174,0.5447985,1.2928708,0.00064660265
167,1.8608544,1.3319827,0.52887154,1.3313426,0.0006401884
168,1.8402592,1.2825317,0.5577274,1.2818769,0.00065497635
169,1.8625069,1.3296297,0.53287715,1.3289969,0.00063288334
170,1.8528858,1.2967615,0.55612415,1.2961147,0.00064682536
171,1.8527565,1.3132389,0.53951776,1.3126783,0.0005603767
172,1.8527381,1.3147618,0.5379764,1.3142066,0.00055516144
173,1.8307974,1.283273,0.54752433,1.2826096,0.00066349295
174,1.8517917,1.3271338,0.52465785,1.3264707,0.0006630806
175,1.8320385,1.2764771,0.5555614,1.2757642,0.0007129169
176,1.8539137,1.3223752,0.5315385,1.3217014,0.0006737206
177,1.8503597,1.2961824,0.5541773,1.2955477,0.0006347471
178,1.8421017,1.2972153,0.54488647,1.2966584,0.00055691984
179,1.8428233,1.3155096,0.5273137,1.3149172,0.0005923097
180,1.8210316,1.2768984,0.5441331,1.2761949,0.0007033887
181,1.8338518,1.3086684,0.5251835,1.3079846,0.00068367604
182,1.8241469,1.2807976,0.5433492,1.2800554,0.0007422546
183,1.8348873,1.2994362,0.53545123,1.2987349,0.0007013307
184,1.8329124,1.2888137,0.54409873,1.2881088,0.00070486055
185,1.8360631,1.3009386,0.53512454,1.3003027,0.00063589925
186,1.8342098,1.2940395,0.5401704,1.2934091,0.0006304937
187,1.8199877,1.2821969,0.5377908,1.2815367,0.0006601682
188,1.8280914,1.3039701,0.5241215,1.3032866,0.0006834984
189,1.8086956,1.2652392,0.5434562,1.2644417,0.00079746975
190,1.8361292,1.3109705,0.5251586,1.3102376,0.0007328514
191,1.8232896,1.2704796,0.5528102,1.2697418,0.0007378085
192,1.8319384,1.299751,0.53218734,1.2991344,0.0006168412
193,1.8222042,1.2914379,0.53076625,1.290801,0.0006369429
194,1.804311,1.2670324,0.5372785,1.2662704,0.00076215155
195,1.8245834,1.3065645,0.518019,1.305839,0.00072553137
196,1.8066256,1.2566804,0.54994524,1.2558665,0.0008138964
197,1.8253495,1.3019092,0.52344024,1.3011773,0.000731975
198,1.8195082,1.2780191,0.5414891,1.2772987,0.0007204395
199,1.8101532,1.2724005,0.53775257,1.2717395,0.00066095823
200,1.8170267,1.2993462,0.5176805,1.298667,0.000679165
201,1.7930943,1.2552323,0.537862,1.254447,0.0007853274
202,1.8064915,1.2887193,0.51777226,1.287958,0.00076127646
203,1.798599,1.2651384,0.5334606,1.2643212,0.0008171728
204,1.8018773,1.2738845,0.5279925,1.2731124,0.00077225064
205,1.8065584,1.274866,0.5316923,1.2740659,0.0008001457
206,1.8063586,1.276673,0.5296856,1.2759558,0.0007171903
207,1.8090506,1.2761045,0.5329461,1.2753562,0.0007480908
208,1.7956728,1.2662661,0.52940667,1.2655562,0.00070989307
209,1.7998804,1.2806482,0.51923215,1.2798892,0.0007589428
210,1.780646,1.2510476,0.5295984,1.2502091,0.00083847286
211,1.8011141,1.2831649,0.5179493,1.2823597,0.00080513814
212,1.7843809,1.2519594,0.5324215,1.2511575,0.0008017455
213,1.7947891,1.2735761,0.52121294,1.2728004,0.00077569304
214,1.7872242,1.2616153,0.525609,1.260793,0.000822358
215,1.7940058,1.2695136,0.5244922,1.2687336,0.0007800859
216,1.792312,1.2613275,0.53098476,1.2604691,0.0008583975
217,1.7993122,1.2755245,0.52378786,1.2747357,0.0007888655
218,1.7977755,1.2630346,0.534741,1.262226,0.0008085646
219,1.7887287,1.2609482,0.52778053,1.2602222,0.000725938
220,1.7876837,1.2748598,0.51282394,1.2740908,0.0007690191
221,1.7687505,1.2415739,0.5271767,1.240685,0.0008888771
222,1.7844213,1.2726526,0.5117687,1.2718189,0.0008337436
223,1.7769701,1.2470849,0.5298852,1.2462083,0.0008765178
224,1.7765167,1.2571371,0.5193796,1.2563189,0.0008179849
225,1.7868229,1.2650723,0.5217504,1.2642188,0.0008535957
226,1.771314,1.2463981,0.5249161,1.2456161,0.00078192883
227,1.7851765,1.2685368,0.5166397,1.2677219,0.0008149947
228,1.7611023,1.2405051,0.5205973,1.2396662,0.0008388972
229,1.7745125,1.2600533,0.514459,1.2591743,0.000878972
230,1.7674774,1.2481763,0.5193011,1.2473209,0.0008555056
231,1.7671074,1.2462287,0.5208786,1.2453473,0.0008815864
232,1.776898,1.2634678,0.5134302,1.2626258,0.0008421534
233,1.7623444,1.2351856,0.52715856,1.2342778,0.0009078227
234,1.7840614,1.2732759,0.51078546,1.2724278,0.00084802497
235,1.7727916,1.2377491,0.53504264,1.2368008,0.00094833784
