,loss,bound_loss,residual_loss,u_loss,v_loss
0,4.3798757,4.378758,0.0011180136,4.378001,0.00075619837
1,4.254332,4.253582,0.00074961095,4.253226,0.00035598932
2,4.3342123,4.333583,0.00062882004,4.333436,0.00014708229
3,4.245443,4.243829,0.0016141931,4.2437296,9.891488e-05
4,4.1639357,4.160483,0.0034529485,4.1604295,5.342032e-05
5,4.149595,4.1427174,0.00687736,4.1426845,3.284453e-05
6,4.0587606,4.0450974,0.013663831,4.0450563,4.101346e-05
7,3.9997704,3.9752946,0.024475992,3.975265,2.9103167e-05
8,3.9016132,3.8639617,0.03765117,3.8639483,1.3475391e-05
9,3.8430362,3.7928796,0.05015683,3.7928624,1.7156279e-05
10,3.8014216,3.7436428,0.057778765,3.743628,1.4951164e-05
11,3.771543,3.7123942,0.059148658,3.712378,1.6296028e-05
12,3.7709496,3.713297,0.05765272,3.7132778,1.8988349e-05
13,3.761214,3.7053113,0.055902846,3.7052948,1.6670729e-05
14,3.7547753,3.6993575,0.055417508,3.6993432,1.4490371e-05
15,3.74933,3.6933296,0.05600031,3.6933155,1.4025963e-05
16,3.756638,3.7001846,0.05645318,3.700168,1.6549084e-05
17,3.7528694,3.6969304,0.055939235,3.6969063,2.3864888e-05
18,3.7184498,3.661242,0.05720799,3.6612136,2.7871563e-05
19,3.7098203,3.6486297,0.061190397,3.648606,2.3751452e-05
20,3.6877182,3.621263,0.06645495,3.6212437,1.95803e-05
21,3.668792,3.5976682,0.07112356,3.597649,1.8849783e-05
22,3.6465092,3.5711982,0.07531061,3.5711784,1.9884978e-05
23,3.6275856,3.5482166,0.07936914,3.548195,2.1424485e-05
24,3.6125443,3.5295346,0.08301009,3.5295098,2.4525896e-05
25,3.5958622,3.5096848,0.08617772,3.509658,2.6131393e-05
26,3.5765712,3.4869905,0.089581266,3.486967,2.3487493e-05
27,3.5534396,3.4591503,0.094289236,3.4591293,2.0985724e-05
28,3.5287125,3.428102,0.100610256,3.4280791,2.3010178e-05
29,3.505464,3.3977356,0.107728854,3.3977115,2.377832e-05
30,3.4856796,3.371112,0.11456762,3.3710856,2.6189542e-05
31,3.466391,3.3458028,0.12058826,3.3457763,2.619368e-05
32,3.438867,3.3121097,0.12675774,3.3120773,3.2263913e-05
33,3.398932,3.263303,0.13562891,3.2632623,4.0603438e-05
34,3.3526502,3.202764,0.14988604,3.2027164,4.749527e-05
35,3.3073914,3.1373484,0.17004307,3.137288,6.0132657e-05
36,3.2766442,3.0850792,0.19156499,3.0850043,7.491476e-05
37,3.2684855,3.061872,0.2066139,3.0618172,5.48316e-05
38,3.2527652,3.0390675,0.21369791,3.0390255,4.174197e-05
39,3.2119167,2.991735,0.22018166,2.991684,5.1264768e-05
40,3.1475549,2.9102578,0.23729739,2.9101825,7.521941e-05
41,3.068721,2.795194,0.2735271,2.7950902,0.000103768645
42,3.0062203,2.6804976,0.32572252,2.680317,0.00018065351
43,3.0261016,2.6771145,0.34898704,2.67699,0.0001242365
44,3.0654788,2.735882,0.3295967,2.7357938,8.800173e-05
45,2.9893794,2.664311,0.32506862,2.6641889,0.00012217408
46,2.8664784,2.5225434,0.34393468,2.522415,0.0001285564
47,2.8025753,2.409369,0.39320636,2.4091635,0.00020540743
48,2.79254,2.353598,0.43894204,2.3534508,0.00014741345
49,2.8372178,2.4260564,0.41116136,2.4258957,0.00016070963
50,2.7539668,2.3577952,0.39617115,2.3576384,0.00015704714
51,2.5969226,2.1381984,0.45872435,2.137971,0.00022742272
52,2.614947,2.1107872,0.50416017,2.1104615,0.0003258605
53,2.7224476,2.278468,0.4439798,2.2782605,0.0002074176
54,2.5052266,2.0581963,0.4470306,2.0579696,0.00022646427
55,2.3838906,1.840554,0.5433362,1.8402746,0.00027941362
56,2.617678,2.1500535,0.46762437,2.1497774,0.0002761269
57,2.3805547,1.9300381,0.4505163,1.9297701,0.00026808892
58,2.2767427,1.7342075,0.54253495,1.7338358,0.00037191802
